original_column,new_columns
transaction_type,"transaction_type_BUY,transaction_type_SELL"
customer_account_type,"customer_account_type_Institutional,customer_account_type_Retail"
stock_sector,"stock_sector_Consumer,stock_sector_Energy,stock_sector_Finance,stock_sector_Healthcare,stock_sector_Technology"
stock_industry,"stock_industry_Asset Management,stock_industry_Hardware,stock_industry_Oil & Gas,stock_industry_Pharmaceuticals,stock_industry_Renewables,stock_industry_Retail,stock_industry_Software,stock_industry_Utilities"
